"","Amamu1","Canalb1","Neucr4830_1","Neucr_trp3_1","SacceM3707_1","SacceM3836_1","SacceM3837_1","SacceM3838_1","SacceM3839_1"
"1.2.1.16",7.61228114691703,0,0,7.28155339805825,9.39261114589856,9.3984962406015,9.41915227629513,9.36621916952857,9.41619585687382
"1.2.1.19",5.07485409794468,0,0,4.85436893203883,0,0,0,0,0
"1.2.1.2",5.07485409794468,31.0921103769918,6.61375661375661,9.70873786407767,12.5234815278647,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"1.2.1.27",7.61228114691703,0,0,7.28155339805825,0,0,0,0,0
"1.2.1.3",190.307028672926,233.190827827439,198.412698412698,182.038834951456,140.889167188478,140.977443609023,141.287284144427,140.493287542928,141.242937853107
"1.2.1.31",10.1497081958894,7.77302759424796,6.61375661375661,14.5631067961165,12.5234815278647,12.531328320802,12.5588697017268,12.4882922260381,12.5549278091651
"1.2.1.41",5.07485409794468,7.77302759424796,6.61375661375661,4.85436893203883,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"1.2.1.5",10.1497081958894,31.0921103769918,26.4550264550265,19.4174757281553,25.0469630557295,25.062656641604,25.1177394034537,37.4648766781143,37.6647834274953
"1.2.1.8",2.53742704897234,0,0,2.42718446601942,0,0,0,0,0
"1.2.4.1",40.5988327835575,46.6381655654878,39.6825396825397,29.126213592233,25.0469630557295,25.062656641604,25.1177394034537,24.9765844520762,25.1098556183302
"1.2.4.2",15.2245622938341,11.6595413913719,9.92063492063492,7.28155339805825,9.39261114589856,9.3984962406015,9.41915227629513,9.36621916952857,9.41619585687382
"1.2.4.4",5.07485409794468,0,6.61375661375661,2.42718446601942,0,0,0,0,0
"1.2.7.-",2.53742704897234,0,0,0,0,0,0,0,0
"1.3.1.13",2.53742704897234,3.88651379712398,3.30687830687831,2.42718446601942,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"1.3.1.20",2.53742704897234,0,0,2.42718446601942,0,0,0,0,0
"1.3.1.34",2.53742704897234,7.77302759424796,3.30687830687831,2.42718446601942,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"1.3.1.35",10.1497081958894,0,0,7.28155339805825,0,0,0,0,0
"1.3.1.38",2.53742704897234,7.77302759424796,3.30687830687831,2.42718446601942,0,0,0,0,0
"1.3.1.42",2.53742704897234,7.77302759424796,6.61375661375661,4.85436893203883,0,0,0,0,0
"1.3.3.1",5.07485409794468,0,0,4.85436893203883,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"1.3.3.3",2.53742704897234,3.88651379712398,3.30687830687831,2.42718446601942,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"1.3.3.4",2.53742704897234,3.88651379712398,0,7.28155339805825,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"1.3.5.1",20.2994163917787,23.3190827827439,13.2275132275132,19.4174757281553,50.093926111459,50.125313283208,50.2354788069074,49.9531689041524,50.2197112366604
"1.3.99.-",7.61228114691703,0,19.8412698412698,14.5631067961165,0,0,0,0,0
"1.3.99.1",12.6871352448617,0,0,36.4077669902913,31.3087038196619,31.328320802005,31.3971742543171,31.2207305650952,31.3873195229127
"1.3.99.10",7.61228114691703,0,0,9.70873786407767,0,0,0,0,0
"1.3.99.3",30.4491245876681,0,0,9.70873786407767,0,0,0,0,0
"1.3.99.5",10.1497081958894,0,0,14.5631067961165,12.5234815278647,12.531328320802,12.5588697017268,12.4882922260381,12.5549278091651
"1.3.99.7",10.1497081958894,0,0,9.70873786407767,0,0,0,0,0
"1.4.1.13",5.07485409794468,0,0,4.85436893203883,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"1.4.1.2",5.07485409794468,7.77302759424796,6.61375661375661,4.85436893203883,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"1.4.3.1",7.61228114691703,0,0,4.85436893203883,0,0,0,0,0
"1.4.3.5",2.53742704897234,3.88651379712398,3.30687830687831,2.42718446601942,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"1.4.3.6",20.2994163917787,0,0,38.8349514563107,0,0,0,0,0
"1.4.4.2",2.53742704897234,3.88651379712398,3.30687830687831,2.42718446601942,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
